Date,Open,High,Low,Close,Volume
09/27/2019,79932,81702,79440,81505,1388490
09/30/2019,81505,81898,80522,80718,775770
10/01/2019,80718,82193,80423,81996,795100
10/02/2019,81996,82291,80325,80620,1224650
10/03/2019,80423,80620,79244,80620,1003810
10/04/2019,80620,82095,80423,81603,1121700
10/07/2019,82586,83078,81407,81407,1134390
10/08/2019,81407,83865,81407,83668,1461940
10/09/2019,83668,84258,83078,83078,860160
10/10/2019,83471,83766,83078,83176,753670
10/11/2019,83078,83963,82980,83865,730370
10/14/2019,84061,84553,83570,83570,620800
10/15/2019,83570,83963,83275,83766,648400
10/15/2019,83570,83963,83275,83766,648400
10/16/2019,84749,84848,84258,84651,668740
10/16/2019,84749,84848,84258,84651,668740
10/17/2019,84946,84946,83373,83766,1023870
10/18/2019,84061,84356,83373,83570,417240
10/21/2019,83471,83471,82193,82783,561470
10/22/2019,82783,84356,82783,83963,473090
10/23/2019,84061,84356,83176,83865,538120
10/24/2019,83865,85536,83668,85438,660180
10/25/2019,85438,87011,85143,86519,838210
10/28/2019,86519,86716,85929,85929,383850
10/29/2019,85929,86027,84848,84946,702620
10/30/2019,84651,86716,84651,86322,607710
10/31/2019,86617,87011,86126,86224,319340
11/01/2019,86224,87896,86027,87306,1071470
11/04/2019,87797,90943,87797,90452,1091260
11/05/2019,90550,90943,89174,89272,616630
11/06/2019,89272,90747,89174,89469,673230
11/07/2019,89469,90353,89469,89764,360850
11/08/2019,89764,90353,89272,89960,416510
11/11/2019,90255,90255,89469,89764,423790
11/12/2019,89862,90550,89764,90157,595820
11/13/2019,90648,90648,88485,88977,706550
11/14/2019,88977,89862,88682,89370,375320
11/15/2019,88485,89469,87896,88190,565270
11/19/2019,86519,89469,86519,89469,526560
11/20/2019,89469,89469,87994,87994,516280
11/21/2019,87601,88190,86027,86027,1000670
11/22/2019,84061,87011,83766,84061,1346230
11/25/2019,84061,84553,81210,83078,1445550
11/26/2019,83078,84356,83078,83275,727130
11/27/2019,84061,85536,83865,84848,484360
11/28/2019,84553,84848,83471,83865,494650
11/29/2019,84159,84356,83570,83865,318000
12/02/2019,83865,84258,81603,82095,438800
12/03/2019,81603,82685,80620,80620,635370
12/04/2019,80522,83373,80128,83275,376730
12/05/2019,83570,84258,83176,83373,378490
12/06/2019,83373,83766,82980,83471,256400
12/09/2019,83471,84258,82980,83766,400740
12/10/2019,83865,84454,83570,83963,512290
12/11/2019,84553,84553,83766,84454,415080
12/12/2019,84651,86519,84553,86027,464750
12/13/2019,86617,87011,86027,86912,746800
12/16/2019,86912,86912,83570,84553,665550
12/17/2019,84946,85536,83865,83865,266250
12/18/2019,83963,85241,83865,85241,845740
